Name,S-BERT_Similarity,Jaccard_Similarity,Combined_Score
ALP,0.3754561,0.024844720496894408,0.44753296493743516
AUD,0.38087603,0.024179620034542316,0.44752118752204484
BXB,0.3773156,0.02460456942003515,0.44744401263017436
AFD,0.42232257,0.01909307875894988,0.44742770884941757
AZW,0.45361158,0.015254237288135594,0.44736503366696634
BSC,0.39106348,0.022889842632331903,0.44721765051754414
BOG,0.39106348,0.022889842632331903,0.44721765051754414
PS,0.3322069,0.03009259259259259,0.44720524394953687
BPE,0.38878185,0.023166023166023165,0.44719557518204206
BCV,0.42662638,0.018518518518518517,0.44708876102058975
BUF,0.36975592,0.02544529262086514,0.44684304657176555
AAG,0.39148644,0.02278481012658228,0.4468395015710517
AGP,0.39148644,0.02278481012658228,0.4468395015710517
AGN,0.39148644,0.02278481012658228,0.4468395015710517
XZ,0.39148644,0.02278481012658228,0.4468395015710517
YA,0.40590242,0.02097902097902098,0.4465472353505088
AAI,0.4059024,0.02097902097902098,0.4465472055481864
AGQ,0.40590233,0.02097902097902098,0.4465471459435416
CFF,0.37874755,0.024242424242424242,0.4461172672474023
CJC,0.37874752,0.024242424242424242,0.4461172374450799
BSY,0.41003466,0.02040816326530612,0.4460854446401401
BPC,0.41003466,0.02040816326530612,0.4460854446401401
ALU,0.40856904,0.0205761316872428,0.44600426917704045
ARL,0.40856904,0.0205761316872428,0.44600426917704045
BMG,0.4179092,0.019417475728155338,0.44589530883483514
RL,0.3651748,0.02586206896551724,0.4458207471617337
ACJ,0.35289067,0.0273224043715847,0.44551304259586855
BFO,0.35896003,0.026578073089700997,0.4455031525455044
AFM,0.35878664,0.026595744680851064,0.4454779104983553
AGF,0.39603347,0.0220125786163522,0.44530844579702655
XP,0.39603347,0.0220125786163522,0.44530844579702655
ZX,0.39603347,0.0220125786163522,0.44530844579702655
AZL,0.351924,0.0273972602739726,0.4452043920347135
DD,0.351924,0.0273972602739726,0.4452043920347135
BTW,0.43145567,0.01762114537444934,0.44491450256188014
AYY,0.4023136,0.021176470588235293,0.4448301059218014
BCX,0.34508252,0.028169014084507043,0.44473795294761653
CGN,0.38478014,0.023305084745762712,0.4447050409801936
CMM,0.35220653,0.02727272727272727,0.4445657490600239
IZ,0.4197634,0.018867924528301886,0.4436049366897007
BQP,0.50488985,0.008333333333333333,0.4427922932306925
QY,0.42612728,0.017964071856287425,0.4427184169163961
FA,0.36509407,0.025423728813559324,0.44263834761360943
CMW,0.38170785,0.023333333333333334,0.4422354966799418
BIF,0.36366943,0.02553191489361702,0.44216833129842226
BLW,0.36366943,0.02553191489361702,0.44216833129842226
BKD,0.36366943,0.02553191489361702,0.44216833129842226
PW,0.41686672,0.019011406844106463,0.4421061993551798
CAF,0.3878891,0.022556390977443608,0.44209128317976354
IQ,0.38140312,0.023346303501945526,0.4420627316380289
BNW,0.33823255,0.02862595419847328,0.44202894563893325
BDE,0.32700568,0.03,0.44202747988700863
BUU,0.3963802,0.021505376344086023,0.44200864094559866
AXT,0.3575498,0.026239067055393587,0.4418705593914054
BBQ,0.40508527,0.02040816326530612,0.4417839562406345
BZL,0.33069813,0.029484029484029485,0.44157317349600267
BMY,0.4289413,0.017456359102244388,0.44155932434479195
CR,0.43412802,0.01680672268907563,0.4414546262817223
AUH,0.40494806,0.020378457059679767,0.4414538030888142
AEY,0.38450414,0.02287581699346405,0.4414173610459745
DN,0.38378978,0.022857142857142857,0.44066393269811355
APX,0.36685675,0.024896265560165973,0.44042531709453375
ADE,0.36820614,0.024725274725274724,0.4403840333550841
ANV,0.37092602,0.024390243902439025,0.44036914531777543
BQT,0.41517836,0.018957345971563982,0.4402550200150476
BCE,0.41964257,0.018404907975460124,0.44021252558275237
EN,0.44768536,0.014970059880239521,0.4401969367158627
KD,0.37992826,0.023255813953488372,0.44013848776041076
BE,0.390176,0.02197802197802198,0.4399724099662278
I,0.40690947,0.0199203187250996,0.43990568395154883
BTG,0.39957607,0.02079722703639515,0.4397582977028819
BMK,0.3991591,0.020833333333333332,0.43965228597323097
FF,0.4162783,0.018726591760299626,0.4395726044079784
AWG,0.37065318,0.024305555555555556,0.4395307209756639
CNX,0.34422022,0.027522935779816515,0.4394013877855528
BOM,0.38432336,0.022613065326633167,0.4393947063678473
BSI,0.38432336,0.022613065326633167,0.4393947063678473
CGD,0.37391537,0.023872679045092837,0.4392924522847649
BJN,0.39177656,0.021653543307086614,0.43905963480003235
BHP,0.39177656,0.021653543307086614,0.43905963480003235
