Resume_ID,ML_Prediction_KFold,ML_Probability_KFold,S-BERT_Similarity,TF-IDF_Jaccard_Combined,True_Label
766,1,0.86,0.37117654,0.02678633622705081,1
1300,1,0.86,0.3443631,0.0061363487519783995,1
1448,1,0.86,0.38918805,0.010287122009185109,1
842,1,0.85,0.3852964,0.011726502354425386,1
1967,1,0.85,0.4160365,0.028848498467846435,1
1491,1,0.85,0.3083306,0.01020251942317717,1
1950,1,0.85,0.31303087,0.027682676447008045,1
1433,1,0.85,0.38457423,0.012039108563118872,1
2396,1,0.85,0.31281543,0.003975165649123047,1
1431,1,0.85,0.39720923,0.013708095168209096,1
1954,1,0.85,0.40986043,0.042382319550848646,1
764,1,0.85,0.3472015,0.019660468761324153,1
818,1,0.85,0.33970174,0.03401462102421298,1
1881,1,0.85,0.3430063,0.028989758148043103,1
784,1,0.85,0.3021398,0.02266055850100155,1
801,1,0.85,0.31029934,0.030627533538054832,1
132,1,0.85,0.3711827,0.006699878512617786,1
240,1,0.85,0.3313697,0.01983782993038391,1
1549,1,0.85,0.3077559,0.0,1
821,1,0.85,0.3471228,0.0349991716088225,1
1489,1,0.85,0.3313697,0.01983782993038391,1
261,1,0.85,0.3083306,0.01020251942317717,1
81,1,0.84,0.36798757,0.021238557771057515,1
1082,1,0.84,0.3403782,0.005673294685708881,1
781,1,0.84,0.39933008,0.027086377441795643,1
1486,1,0.84,0.33684677,0.0,1
747,1,0.84,0.4214632,0.05259133414842369,1
223,1,0.84,0.3132133,0.023630952982404523,1
788,1,0.84,0.3350467,0.027682058171631767,1
2034,1,0.84,0.33104748,0.0,1
816,1,0.84,0.38960707,0.025607509052861275,1
1285,1,0.84,0.37868044,0.010058265652201578,1
829,1,0.84,0.39031154,0.030004227595560866,1
181,1,0.84,0.37192962,0.0,1
1917,1,0.84,0.33299792,0.02447695197072916,1
1254,1,0.84,0.30294186,0.0,1
1876,1,0.83,0.34616867,0.03244537399622224,1
2369,1,0.83,0.30067414,0.016732403170611997,1
175,1,0.83,0.30176258,0.030830300366099444,1
794,1,0.83,0.31275633,0.02653991334297582,1
843,1,0.83,0.3928234,0.004300075608637394,1
772,1,0.83,0.38720155,0.038235216459929514,1
142,1,0.83,0.33552247,0.0226974428360816,1
1903,1,0.83,0.30056196,0.034901308315047085,1
541,1,0.83,0.35314387,0.019354352515569544,1
738,1,0.83,0.34454006,0.027432486418158805,1
494,1,0.83,0.31253278,0.02681931333637782,1
773,1,0.83,0.3493417,0.0352757205941935,1
1208,1,0.83,0.4228821,0.0,1
1698,1,0.83,0.36339945,0.01877434712619417,1
795,1,0.83,0.3528938,0.03686421795744142,1
2399,1,0.83,0.3063028,0.018255940328532904,1
750,1,0.83,0.34284025,0.020142543156922006,1
76,1,0.83,0.3271227,0.02349641082864764,1
19,1,0.82,0.3486824,0.0,1
2301,1,0.82,0.35762727,0.0,1
1924,1,0.82,0.30034333,0.022319071441883637,1
1299,1,0.82,0.32722056,0.010182836954540683,1
725,1,0.82,0.3398439,0.039699380968897885,1
666,1,0.82,0.35658336,0.019862628589583275,1
2392,1,0.82,0.29726097,0.012566089184374017,1
1715,1,0.82,0.36122802,0.008671499800989297,1
450,1,0.82,0.36516988,0.004989071327618761,1
850,1,0.82,0.3856268,0.018333142389340744,1
832,1,0.82,0.29805753,0.018133042588180603,1
1246,1,0.82,0.3063823,0.009935492045046531,1
1691,1,0.82,0.34145468,0.013875554835209641,1
1732,1,0.82,0.36348426,0.0,1
946,1,0.82,0.31374964,0.019631454267275326,1
1365,1,0.82,0.3352391,0.008205354898166296,1
2211,1,0.82,0.3412283,0.022171525892211583,1
65,1,0.82,0.3340131,0.009283729484474203,1
193,1,0.82,0.35786182,0.009633225837318588,1
734,1,0.81,0.4251544,0.024674864721936685,1
2406,1,0.81,0.39221537,0.01675878221185807,1
852,1,0.81,0.36611456,0.020799889593184892,1
1385,1,0.81,0.31163174,0.0021245187847293455,1
536,1,0.81,0.30757788,0.0017826612284107199,1
460,1,0.81,0.35620457,0.007310716177759592,1
1389,1,0.81,0.35250533,0.013465263792984239,1
792,1,0.81,0.35147518,0.035202800767727783,1
1722,1,0.81,0.3039579,0.018269293890523564,1
2025,1,0.81,0.3433739,0.0,1
848,1,0.81,0.32920298,0.009608529532519765,1
284,1,0.8,0.32632408,0.002202173510735296,1
2231,1,0.8,0.31662965,0.015761866025738414,1
1808,1,0.8,0.31162307,0.009238867849832492,1
451,1,0.8,0.3673378,0.0052338786825922605,1
1780,1,0.8,0.29823452,0.009691524777137889,1
1220,1,0.8,0.2963194,0.019945871560186068,1
826,1,0.8,0.3461361,0.025254847827418263,1
1357,1,0.8,0.3232253,0.01818114083252008,1
1461,1,0.8,0.3121516,0.007011382852010133,1
740,1,0.8,0.3300525,0.024543943913995316,1
457,1,0.8,0.31376606,0.0038736112583385857,1
1537,1,0.8,0.31391758,0.010210308813259378,1
1452,1,0.8,0.35641813,0.005186584880738311,1
1276,1,0.8,0.36007708,0.009086490994319688,1
202,1,0.79,0.29818943,0.02078931217756774,1
812,1,0.79,0.31398535,0.02530088671729905,1
1910,1,0.79,0.3480843,0.01996479116816732,1
